lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reserved_eq_assigned_roomtype,binary_response,market_Aviation,market_Complntry,market_Corprt,market_Direct,mar_Groups,market_OffTA,market_OnTA,distr_Corprt,distr_Direct,distr_GDS,distr_TATO,No_Deposit,Non_Refund
34,1,2,2,128.0,0,0,0,0,0,0,128.0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
233,2,6,2,62.34,0,0,0,0,0,0,62.34,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
119,0,2,2,177.3,0,0,0,0,0,0,177.3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
119,2,7,2,95.0,0,0,0,0,0,0,95.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
144,2,1,2,130.67,0,0,0,0,0,0,130.67,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,2,48.0,0,0,0,0,0,0,48.0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
164,0,5,2,133.04,0,0,0,0,0,0,133.04,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
129,2,1,1,67.0,0,0,0,0,0,0,67.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
36,2,2,2,78.3,0,0,0,0,2,0,78.3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
323,1,1,2,62.0,0,0,1,0,0,0,62.0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1
128,1,2,2,116.1,0,0,0,0,0,0,116.1,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
51,0,4,2,135.0,0,0,0,0,0,0,135.0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,1,0
14,0,1,1,130.5,0,1,0,1,0,0,130.5,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
96,1,2,2,126.0,0,0,0,0,0,0,126.0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
